,Type,Name,longitude,latitude,Address,hoods_,hoods_id,s_hood,l_hood,l_hoodid
207,Libraries,Lake City,-122.298087,47.719861,12501 28TH AV NE,107.0,104.0,Olympic Hills,LAKE CITY,3.0
208,Libraries,Madrona\Sally Goldmark,-122.290014,47.612674,1134 33RD AV,55.0,158.0,Madrona,CENTRAL AREA,14.0
209,Libraries,Magnolia,-122.401344,47.645316,2801 34TH AV W,53.0,141.0,Briarcliff,MAGNOLIA,8.0
210,Libraries,Mobile Services,-122.337025,47.616804,2025 9TH AV,62.0,156.0,Belltown,DOWNTOWN,13.0
211,Libraries,Montlake,-122.301591,47.639747,2401 24TH AV E,100.0,146.0,Montlake,CAPITOL HILL,11.0
212,Libraries,Newholly,-122.290951,47.538994,7058 32ND AV S,84.0,186.0,Holly Park,BEACON HILL,17.0
213,Libraries,North East,-122.290711,47.677854,6801 35TH AV NE,38.0,125.0,Ravenna,NO BROADER TERM,4.0
214,Libraries,Northgate,-122.322677,47.706193,10548 5TH AV NE,118.0,112.0,Maple Leaf,NORTHGATE,2.0
215,Libraries,Queen Anne,-122.362744,47.633781,400 W GARFIELD ST,46.0,148.0,West Queen Anne,QUEEN ANNE,10.0
216,Libraries,Rainier Beach,-122.270465,47.521356,9125 RAINIER AV S,86.0,192.0,Dunlap,RAINIER VALLEY,15.0
217,Libraries,South Park Branch,-122.32259,47.52627,8604 8th Ave S,71.0,187.0,South Park,NO BROADER TERM,18.0
218,Libraries,Southwest,-122.376182,47.522442,9010 35TH AV SW,96.0,191.0,Roxhill,DELRIDGE,20.0
219,Libraries,Talking Book\  & Braille,-122.336823,47.61668,2021 9TH AV,62.0,156.0,Belltown,DOWNTOWN,13.0
220,Libraries,University,-122.317863,47.665539,5009 ROOSEVELT WY NE,44.0,139.0,University District,UNIVERSITY DISTRICT,5.0
221,Libraries,Wallingford,-122.339104,47.661174,1501 N 45TH ST,34.0,133.0,Wallingford,NO BROADER TERM,6.0
222,Libraries,West Seattle,-122.384757,47.582695,2306 42ND AV SW,77.0,169.0,North Admiral,WEST SEATTLE,19.0
223,Light Rail,Airport / Seatac Station,-122.296898,47.445381,,,,,,
224,Light Rail,Beacon Hill Station,-122.311533,47.579328,,81.0,166.0,North Beacon Hill,BEACON HILL,17.0
225,Light Rail,Columbia City Station,-122.292692,47.559733,,90.0,179.0,Columbia City,RAINIER VALLEY,15.0
226,Light Rail,International District Station,-122.327992,47.598355,,63.0,164.0,International District,DOWNTOWN,13.0
227,Light Rail,Mount Baker Station,-122.297679,47.57655,,81.0,166.0,North Beacon Hill,BEACON HILL,17.0
228,Light Rail,Othello Station,-122.281563,47.537987,,85.0,185.0,Brighton,RAINIER VALLEY,15.0
229,Light Rail,Pioneer Square Station,-122.331216,47.60256,,67.0,163.0,Pioneer Square,DOWNTOWN,13.0
230,Light Rail,Rainier Beach Station,-122.279391,47.522394,,83.0,183.0,South Beacon Hill,BEACON HILL,17.0
231,Light Rail,Sodo Station,-122.32739,47.581074,,69.0,167.0,Industrial District,NO BROADER TERM,18.0
232,Light Rail,Stadium Station,-122.327172,47.591108,,69.0,167.0,Industrial District,NO BROADER TERM,18.0
233,Light Rail,Tukwila International Blvd Station,-122.287996,47.464031,,,,,,
234,Light Rail,University Street Station,-122.33602,47.60781,,64.0,159.0,Central Business District,DOWNTOWN,13.0
235,Light Rail,Westlake Station,-122.33672,47.611572,,64.0,159.0,Central Business District,DOWNTOWN,13.0
236,Middle Schools,Aki Kurose Academy,-122.281981,47.546321,3928 S Graham St,90.0,179.0,Columbia City,RAINIER VALLEY,15.0
237,Middle Schools,Denny International,-122.370709,47.527917,8402 30th Ave SW,96.0,191.0,Roxhill,DELRIDGE,20.0
238,Middle Schools,Eckstein,-122.294983,47.682519,3003 NE 75th St,38.0,125.0,Ravenna,NO BROADER TERM,4.0
239,Middle Schools,Hamilton International,-122.338026,47.657081,4400 Interlake Ave N,34.0,133.0,Wallingford,NO BROADER TERM,6.0
240,Middle Schools,Madison,-122.390281,47.572982,3429 45th Ave SW,77.0,169.0,North Admiral,WEST SEATTLE,19.0
241,Middle Schools,Mcclure,-122.358954,47.636827,1915 1st Ave W,46.0,148.0,West Queen Anne,QUEEN ANNE,10.0
242,Middle Schools,Mercer,-122.312083,47.564132,1600 S Columbian Wy,81.0,166.0,North Beacon Hill,BEACON HILL,17.0
243,Middle Schools,Washington,-122.30415,47.597956,2101 S Jackson St,60.0,165.0,Atlantic,CENTRAL AREA,14.0
244,Middle Schools,Whitman,-122.377602,47.696752,9201 15th Ave NW,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
245,Monorail,Seattle Center,-122.349731,47.621256,305 Harrison St,47.0,152.0,Lower Queen Anne,QUEEN ANNE,10.0
246,Monorail,Westlake Mall,-122.336842,47.6119,5th Ave & Pine St,64.0,159.0,Central Business District,DOWNTOWN,13.0
247,Museums and Galleries,Burke Museum,-122.310622,47.660606,17th Ave NE & NE 45 St,44.0,139.0,University District,UNIVERSITY DISTRICT,5.0
248,Museums and Galleries,Experience Music Project (Emp),-122.348174,47.62147,325 5th Ave N,47.0,152.0,Lower Queen Anne,QUEEN ANNE,10.0
249,Museums and Galleries,Frye Art Museum,-122.324166,47.60709,704 Terry Ave,65.0,160.0,First Hill,DOWNTOWN,13.0
250,Museums and Galleries,Henry Art Gallery,-122.311732,47.65652,4100 15th Ave NE,44.0,139.0,University District,UNIVERSITY DISTRICT,5.0
251,Museums and Galleries,Maritime Discovery Center,-122.349474,47.611373,2205 Alaskan Way,62.0,156.0,Belltown,DOWNTOWN,13.0
252,Museums and Galleries,Museum Of Flight,-122.29728,47.518588,9404 E Marginal Wy S,,,,,
253,Museums and Galleries,Museum Of History And Industry,-122.301111,47.645152,2700 24th Ave E,100.0,146.0,Montlake,CAPITOL HILL,11.0
254,Museums and Galleries,Nordic Heritage Museum,-122.396313,47.677673,3014 NW 67 St,121.0,116.0,Sunset Hill,BALLARD,7.0
255,Museums and Galleries,Northwest African American Museum,-122.301854,47.588741,2300 S Massachusetts St,60.0,165.0,Atlantic,CENTRAL AREA,14.0
256,Museums and Galleries,Olympic Sculpture Park,-122.353852,47.616346,2901 Western Ave,62.0,156.0,Belltown,DOWNTOWN,13.0
257,Museums and Galleries,Pacific Science Center,-122.351104,47.619739,200 Second Ave N,47.0,152.0,Lower Queen Anne,QUEEN ANNE,10.0
258,Museums and Galleries,Science Fiction Museum,-122.348174,47.62147,325 5th Ave N,47.0,152.0,Lower Queen Anne,QUEEN ANNE,10.0
259,Museums and Galleries,Seattle Art Museum,-122.33777,47.607402,1300 First Ave,64.0,159.0,Central Business District,DOWNTOWN,13.0
260,Museums and Galleries,Seattle Asian Art Museum,-122.314199,47.630297,1400 East Prospect Street,102.0,151.0,Broadway,CAPITOL HILL,11.0
261,Museums and Galleries,Seattle Metropolitan Police Museum,-122.33066,47.599456,317 Third Avenue South,67.0,163.0,Pioneer Square,DOWNTOWN,13.0
262,Museums and Galleries,Sodo (South Of The Dome) Urban Art Corridor,-122.334202,47.58336,5th Ave S between Spkane St & Royal Brougham,69.0,167.0,Industrial District,NO BROADER TERM,18.0
263,Museums and Galleries,The Center For Wooden Boats Maritime Museum,-122.336574,47.626367,1010 Valley St,51.0,200.0,South Lake Union,CASCADE,12.0
264,Museums and Galleries,The Center On Contemporary Art (Coca),-122.40836,47.67528,6413 Seaview Ave NW,121.0,116.0,Sunset Hill,BALLARD,7.0
265,Museums and Galleries,The Center On Contemporary Art (Coca),-122.34194,47.62231,2721 1st Ave,51.0,200.0,South Lake Union,CASCADE,12.0
266,Museums and Galleries,The Childrens Museum,-122.353983,47.622078,305 Harrison St,47.0,152.0,Lower Queen Anne,QUEEN ANNE,10.0
267,Museums and Galleries,Wing Luke Museum,-122.32414,47.598839,719 S King St,63.0,164.0,International District,DOWNTOWN,13.0
268,Neighborhood Service Centers,Ballard,-122.384206,47.669845,5604 22nd Ave NW,30.0,129.0,Adams,BALLARD,7.0
269,Neighborhood Service Centers,Central,-122.301985,47.599089,2301 S. Jackson Street Suite 208,60.0,165.0,Atlantic,CENTRAL AREA,14.0
270,Neighborhood Service Centers,Lake City,-122.298087,47.719861,12525 28th Ave NE,107.0,104.0,Olympic Hills,LAKE CITY,3.0
271,Neighborhood Service Centers,Southeast,-122.28553,47.558315,3815 S Othello St Ste 105,90.0,179.0,Columbia City,RAINIER VALLEY,15.0
272,Neighborhood Service Centers,Southwest (formerly Delridge),-122.36918,47.52816,2801 S.W. Thistle St,96.0,191.0,Roxhill,DELRIDGE,20.0
273,Neighborhood Service Centers,University District,-122.312938,47.662339,4534 University Way NE,44.0,139.0,University District,UNIVERSITY DISTRICT,5.0
274,Police Precincts,East,-122.317119,47.614945,1519  12TH AVE,102.0,151.0,Broadway,CAPITOL HILL,11.0
275,Police Precincts,North,-122.334707,47.702929,10049  COLLEGE WAY N,117.0,110.0,North College Park,NORTHGATE,2.0
276,Police Precincts,South,-122.293356,47.538574,3001  S MYRTLE ST,83.0,183.0,South Beacon Hill,BEACON HILL,17.0
277,Police Precincts,Southwest,-122.362016,47.535895,2300  SW WEBSTER ST,94.0,182.0,High Point,DELRIDGE,20.0
278,Police Precincts,West,-122.336591,47.615921,810  VIRGINIA ST,62.0,156.0,Belltown,DOWNTOWN,13.0
